course,program,duration,nos,emgs,misc,ttf,intake,description,remarks,discount,doc_title,doc_link,uid
Bachelor of Education (Hons) Teaching English(TESL),Bachelor,3 Years,,3000,4230,36080,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,48
Bachelor of Education (Hons)(Early Childhood Education,Bachelor,3.5 Years,,3000,4230,24000,Mar/Jun/Sept,,,,UG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_UG.pdf,48
Master in Information Technology,Masters,2 Years,,3000,4230,25200,Dec/June,,RM630 * 40 Cr. hr (RM1000 for additional semester after 2 years),,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Science  (Computing )(by Research),Masters,2 Years,4,3000,4230,14000,Anytime ,,RM3500 * 4,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Business Administration,Masters,2 Years,,3000,4230,45000,Dec/June,,RM1000 * 45 Cr.hr,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Management (by Research),Masters,2 Years,4,3000,4230,20000,Dec/June,,RM5000 * 4,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master in Education ( Discipline Management),Masters,2 Years,,3000,4230,28000,Dec/June,,RM700 * 40 Cr. hr,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master in Education ( Co- Curriculum and Sport Mnagement ),Masters,2 Years,,3000,4230,29400,Dec/June,,RM700 * 42 Cr. hr,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Science in Biotechnology (by Research),Masters,2 Years,4,3000,4230,28000,Dec/June,,RM7000 * 4,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Life Science,Masters,2 Years,4,3000,4230,28000,Dec/June,,RM7000 * 4,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master in Engineering (by Research),Masters,2 Years,4,3000,4230,28000,Dec/June,,RM7000 * 4,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Computer Science ( Software Engineering),Masters,2 Years,,3000,4230,25200,Dec/June,,RM630 * 40 Cr. hr,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Master of Science,Masters,2 Years,4,3000,4230,24000,Dec/June,,RM6000 * 4,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Management (by research),PHD,3 Years,6,3000,4230,40000,Dec/June,,RM6700 * 5 + RM6500 * 1 (RM1500 for additional semester after 3 years),,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Education (by research),PHD,3 Years,6,3000,4230,42000,Dec/June,,RM7000 * 6,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Social Science (by research),PHD,3 Years,6,3000,4230,32000,Dec/June,,RM5400 * 5 + RM5000 * 1,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Education(Ed.D)(by Coursework),Ed.D,3 Years,6,3000,4230,43200,Dec/June,,RM480 * 90 Cr. hr,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Biotechnology (by research),PHD,3 Years,6,3000,4230,50400,Dec/June,,RM8400 * 6,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Science (by research),PHD,3 Years,6,3000,4230,44000,Dec/June,,RM7400 * 5 + RM7000 * 1,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Engineering (by research),PHD,3 Years,6,3000,4230,50400,Dec/June,,RM8400 * 6,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
Doctor of Philosophy in Computing (by research),PHD,3 Years,6,3000,4230,19800,Dec/June,,RM3300 * 6,,PG NEW REGISTRATION GUIDEBOOK FOR INTERNATIONAL STUDENTS 2018,unisel_fees_PG.pdf,48
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
